RuleID | Rule Name | Priority | Include/Exclude | Justification
S2095 | Resources should be closed | CRITICAL | Include | Direct resource leak impact
S2259 | Null pointers should not be dereferenced | BLOCKER | Include | Runtime crash prevention
S2189 | Loops should not be infinite | BLOCKER | Include | System stability
S3649 | Database queries should not be vulnerable to injection attacks | BLOCKER | Include | Security critical
S2277 | Cryptographic RSA algorithms should always incorporate OAEP | CRITICAL | Include | Security vulnerability
S2278 | Neither DES nor DESede should be used | CRITICAL | Include | Security requirement
S4423 | Weak SSL/TLS protocols should not be used | CRITICAL | Include | Security vulnerability
S2068 | Credentials should not be hard-coded | BLOCKER | Include | Security critical
S2699 | Tests should include assertions | CRITICAL | Include | Test reliability
S2187 | TestCases should contain tests | CRITICAL | Include | Test effectiveness
S2447 | Null should not be used in comparisons | MAJOR | Include | NPE prevention
S1192 | String literals should not be duplicated | CRITICAL | Include | Maintenance impact
S1181 | Throwable and Error should not be caught | CRITICAL | Include | Error handling
S1134 | Track uses of "FIXME" comments | MAJOR | Include | Code quality
S1130 | "throws" declarations should not be superfluous | MINOR | Exclude | Style 
S2209 | "static" members should be accessed statically | MINOR | Exclude | Style preference
S2226 | Thread.run() should not be called directly | MAJOR | Include | Threading issues
S2275 | Printf-style format strings should be used correctly | CRITICAL | Include | Runtime errors
S2629 | "locks" should be "released" on all paths | BLOCKER | Include | Deadlock prevention
S2653 | Web components should be stateless | CRITICAL | Include | Server stability
S2674 | The length returned from a stream read should be checked | CRITICAL | Include | Data integrity
S2696 | Instance methods should not write to "static" fields | MAJOR | Include | Thread safety
S2786 | Nested "enum"s should not be declared static | MINOR | Exclude | Code organization
S2789 | String literals should not be duplicated | MAJOR | Include | Maintenance
S2864 | "entrySet()" should be iterated when both key and value are needed | MAJOR | Include | Performance
S2885 | "Calendars" and "DateFormats" should not be static | MAJOR | Include | Thread safety
S2912 | Instance methods should not write to "static" fields | MAJOR | Include | Thread safety
S2925 | "Thread.sleep" should not be used in tests | MAJOR | Include | Test reliability
S2970 | Assertions should be complete | MAJOR | Include | Test quality
S3042 | "write(byte[],int,int)" should be overridden | MAJOR | Include | IO correctness
S3252 | String literals should not be duplicated | MINOR | Exclude | Style only
S3374 | Synchronization on Boolean values should not be performed | MAJOR | Include | Threading issue
S3415 | Assertion arguments should be passed in the correct order | MAJOR | Include | Test reliability
S3436 | "secureRandom" seeds should not be predictable | CRITICAL | Include | Security critical
S3438 | Threads should not be started in constructors | MAJOR | Include | Lifecycle issues
S3516 | Multiple variables should not be declared on the same line | MINOR | Exclude | Readability only
S3518 | Zero should not be passed as argument to "wait()" | MAJOR | Include | Threading issues
S3599 | Double brace initialization should not be used | MINOR | Exclude | Style preference
S3631 | String.valueOf() should not be appended to a String | MINOR | Include | Performance
S3655 | Optional value should not be accessed without being present | BLOCKER | Include | Runtime crashes
S3751 | "@RequestMapping" methods should be "public" | MAJOR | Include | Framework requirement
S3776 | Cognitive Complexity of methods should not be too high | CRITICAL | Include | Maintainability
S3824 | Map.get() and value test should be replaced with Map.containsKey() | MINOR | Include | Performance
S3864 | Stream.peek() should be used with caution | MAJOR | Include | Stream processing
S3878 | Arrays should not be created for varargs parameters | MINOR | Exclude | Style only
S3984 | Exception should not be created without being thrown | MAJOR | Include | Logic error
S4034 | Stream operations should use "return" or "throw" | MAJOR | Include | Stream correctness
S4275 | Getters and setters should access the expected fields | MAJOR | Include | Logic integrity
S4348 | String.valueOf() should not be appended to a String | MINOR | Exclude | Performance minor
S4349 | String literals should not be duplicated | MINOR | Exclude | Already covered
S4351 | Should use println() instead of print() | MINOR | Exclude | Style preference
S4435 | Class names should not shadow interfaces | MAJOR | Include | Type safety
S4488 | Composed "@RequestMapping" annotations should not be used | MINOR | Exclude | Framework style
S4524 | Switch cases should end with "break" or "return" | CRITICAL | Include | Logic flow
S4601 | "toString()" should never be called on a String object | MINOR | Include | Performance
S4684 | Persistent entities should not be used as arguments | MAJOR | Include | JPA best practice
S4719 | "StandardCharsets" constants should be preferred | MINOR | Exclude | Modern Java style
S4823 | Using command line arguments is security-sensitive | MAJOR | Include | Security concern
S4925 | "readme.txt" files should be reviewed | INFO | Exclude | Process only
S4929 | "interrupt()" should not be called on current thread | MAJOR | Include | Threading issue
S4973 | Strings and Boxed types should be compared using "equals()" | MAJOR | Include | Logic correctness
S5122 | Having a permissive Cross-Origin Resource Sharing policy | CRITICAL | Include | Security
S5164 | ThreadLocal variables should be properly cleared | CRITICAL | Include | Memory leaks
S5261 | "else" statements should be clearly matched with "if" | MINOR | Exclude | Style only
S5320 | JUnit Assert methods should be used with message parameters | MINOR | Exclude | Test style
S5324 | Loop iterators should not be assigned to fields | MAJOR | Include | Threading issue
S5344 | "SimpleDateFormat" should not be used | MAJOR | Include | Thread safety
S5361 | "String.format" should only be used with message format strings | MINOR | Exclude | Style only
S5411 | "Collection.contains" should not be used on potential streams | MINOR | Include | Performance
S5443 | Using regular expressions is security-sensitive | MAJOR | Include | Security concern
S5445 | Insecure temporary file creation methods should not be used | CRITICAL | Include | Security
S5542 | Encryption algorithms should be used with secure mode and padding | CRITICAL | Include | Security
S5547 | Cipher algorithms should be robust | CRITICAL | Include | Security
S5669 | JWT should be signed and verified with strong cipher algorithms | CRITICAL | Include | Security
S5679 | Cookie security flags should be set | CRITICAL | Include | Security
S5738 | Source files should have a sufficient density of comments | MINOR | Exclude | Style preference
S5776 | Multiple tests should not be implemented in the same method | MAJOR | Include | Test quality
S5777 | Test assertions should include messages | MINOR | Exclude | Test style
S5778 | Tests should not be ignored | MAJOR | Include | Test coverage
S5779 | Assertion methods should be used | MAJOR | Include | Test quality
S5783 | Use "assertEquals(expected, actual)" instead of "assertTrue(expected.equals(actual))" | MINOR | Exclude | Test style
S5785 | JUnit 4 tests should not be ignored with "@Ignore" | MAJOR | Include | Test maintenance
S5786 | "static final" arrays should be "private" | MAJOR | Include | Encapsulation
S5790 | "assertThrows" should be used | MAJOR | Include | Test robustness
S5803 | "Random" objects should be reused | MINOR | Include | Performance
S5804 | Magic numbers should not be used | MINOR | Exclude | Style preference
S5831 | Spring "@ConfigurationProperties" classes should be "static" | MAJOR | Include | Spring best practice
S5833 | "@Autowired" fields should be "private" | MINOR | Exclude | Style preference
S5838 | Class overrides should match their parent class | CRITICAL | Include | Inheritance correctness
S5841 | AssertJ "assertThatThrownBy" should not be used with "isInstanceOf" | MINOR | Exclude | Test style
S5842 | "Instant.now()" should not be used as timestamp for events | MAJOR | Include | Time precision
