Code Smell       | Functions should not be defined with a variable number of arguments
Bug              | Return values should not be ignored when they contain the operation status code
Code Smell       | Equality operators should not be used in "for" loop termination conditions
Code Smell       | Increment (++) and decrement (--) operators should not be used in a method call or mixed with other operators in an expression
Code Smell       | Limited dependence should be placed on operator precedence
Code Smell       | Literal suffixes should be upper case
Code Smell       | "String.isEmpty()" should be used to test for emptiness
Code Smell       | Circular dependencies between classes across packages should be resolved
Vulnerability    | Server-side requests should not be vulnerable to traversing attacks
Code Smell       | Circular dependencies between classes in the same package should be resolved
Bug              | Consumed Stream pipelines should not be reused
Code Smell       | Bluetooth should be configured to use low power
Code Smell       | Motion Sensor should not use gyroscope
Code Smell       | Use when instead of a single if inside a pattern match body
Bug              | "String.indexOf" should be used with correct ranges
Code Smell       | Use Fused Location to optimize battery power
Bug              | "Math.clamp" should be used with correct ranges
Code Smell       | Use batch Processing in JDBC
Code Smell       | Constant parameters in a "PreparedStatement" should not be set more than once
Bug              | Virtual threads should not run tasks that include synchronized code
Code Smell       | SQL queries should retrieve only necessary fields
Code Smell       | Avoid using "FetchType.EAGER"
Bug              | "setDaemon", "setPriority" and "getThreadGroup" should not be invoked on virtual threads
Code Smell       | High frame rates should not be used
Code Smell       | Exact alarms should not be abused
Code Smell       | Proper Sensor Resource Management
Code Smell       | Use built-in "Math.clamp" methods
Bug              | Virtual threads should be used for tasks that include heavy blocking operations
Code Smell       | Use switch instead of if-else chain to compare a variable against multiple cases
Code Smell       | Use record pattern instead of explicit field access
Code Smell       | Reverse view should be used instead of reverse copy in read-only cases
Code Smell       | Reverse iteration should utilize reversed view
Bug              | Set appropriate Status Codes on HTTP responses
Bug              | Beans in "@Configuration" class should have different names
Bug              | SpEL expression should have a valid syntax
Bug              | "@PathVariable" annotation should be present if a path variable is used
Bug              | "@Bean" methods for Singleton should not be invoked in "@Configuration" when proxyBeanMethods is false
Code Smell       | Superfluous "@ResponseBody" annotations should be removed
Code Smell       | "@Controller" should be replaced with "@RestController"
Code Smell       | Non-singleton Spring beans should not be injected into singleton beans
Bug              | "@Qualifier" should not be used on "@Bean" methods
Code Smell       | Bean names should adhere to the naming conventions
Code Smell       | "@Autowired" should be used when multiple constructors are provided
Bug              | "@Autowired" should only be used on a single constructor
Bug              | Use of the "@Async" annotation on methods declared within a "@Configuration" class in Spring Boot
Bug              | Nullable injected fields and parameters should provide a default value
Code Smell       | Optional REST parameters should have an object type
Code Smell       | Field dependency injection should be avoided
Bug              | Async methods should return void or Future
Code Smell       | Methods with Spring proxy should not be called via "this"
