// Default SonarQube Java Rules - Sonar way profile
// Active rules: 513
// Source: Default SonarQube installation with Java plugin
//
// Quality Breakdown:
// - Security: 29 active rules
// - Reliability: 161 active rules
// - Maintainability: 294 active rules
//
// Clean Code Categories:
// - Consistency: 79 active rules
// - Intentionality: 348 active rules
// - Adaptability: 36 active rules
// - Responsibility: 14 active rules

// Default SonarQube Java Rules (541)
// Source: https://rules.sonarsource.com/java/

// Bugs (138)
Bug | "@NonNull" values should not be set to null
Bug | "@PathVariable" annotation should be present if a path variable is used
Bug | "@Qualifier" should not be used on "@Bean" methods
Bug | "@SpringBootApplication" and "@ComponentScan" should not be used in the default package
Bug | "BigDecimal(double)" should not be used
Bug | "Collection.toArray()" should be passed an array of the proper type
Bug | "Double.longBitsToDouble" should take "long" as argument
Bug | "Externalizable" classes should have no-arguments constructors
Bug | "InterruptedException" and "ThreadDeath" should not be ignored
Bug | "Iterator.hasNext()" should not call "Iterator.next()"
Bug | "Iterator.next()" methods should throw "NoSuchElementException"
Bug | "Math.abs" and negation should not be used on numbers that could be "MIN_VALUE"
Bug | "Math.clamp" should be used with correct ranges
Bug | "Object.wait()", "Object.notify()" and "Object.notifyAll()" should only be called from synchronized code
Bug | "PreparedStatement" and "ResultSet" methods should be called with valid indices
Bug | "Random" objects should be reused
Bug | "ScheduledThreadPoolExecutor" should not have 0 core threads
Bug | "Serializable" inner classes of non-serializable outer classes should be "static"
Bug | "String.indexOf" should be used with correct ranges
Bug | "StringBuilder" and "StringBuffer" should not be instantiated with a character
Bug | "Thread.run()" should not be called directly
Bug | "ThreadLocal" variables should be cleaned up when no longer used
Bug | "compareTo" results should not be checked for specific values
Bug | "compareTo" should not be overloaded
Bug | "compareTo" should not return "Integer.MIN_VALUE"
Bug | "equals" method overrides should accept "Object" parameters
Bug | "equals" methods should be symmetric and work for subclasses
Bug | "equals(Object obj)" and "hashCode()" should be overridden in pairs
Bug | "equals(Object obj)" should test the argument's type
Bug | "getClass" should not be used for synchronization
Bug | "hashCode" and "toString" should not be called on array instances
Bug | "iterator" should not return "this"
Bug | "notifyAll()" should be preferred over "notify()"
Bug | "null" should not be used with "Optional"
Bug | "read" and "readLine" return values should be used
Bug | "runFinalizersOnExit" should not be called
Bug | "setDaemon", "setPriority" and "getThreadGroup" should not be invoked on virtual threads
Bug | "super.finalize()" should be called at the end of "Object.finalize()" implementations
Bug | "toString()" and "clone()" methods should not return null
Bug | "volatile" variables should not be used with compound operators
Bug | "wait" should not be called when multiple locks are held
Bug | "wait(...)" should be used instead of "Thread.sleep(...)" when a lock is held
Bug | "writeObject" argument must implement "Serializable"
Bug | A "for" loop update clause should move the counter in the right direction
Bug | Accessing an array element should not trigger an ArrayIndexOutOfBoundsException
Bug | All branches in a conditional structure should not have exactly the same implementation
Bug | Alternatives in regular expressions should be grouped when used with anchors
Bug | Annotated Mockito objects should be initialized
Bug | AssertJ assertions "allMatch" and "doesNotContains" should also test for emptiness
Bug | AssertJ assertions with "Consumer" arguments should contain assertion inside consumers
Bug | AssertJ configuration should be applied
Bug | AssertJ methods setting the assertion context should come before an assertion
Bug | Assertion methods should not be used within the try block of a try-catch catching an Error
Bug | Assertions comparing incompatible types should not be made
Bug | Assertions should not be used in production code
Bug | Assertions should not compare an object to itself
Bug | Assignment of lazy-initialized members should be the last step with double-checked locking
Bug | Async methods should return void or Future
Bug | Back references in regular expressions should only refer to capturing groups that are matched before the reference
Bug | Beans in "@Configuration" class should have different names
Bug | Blocks should be synchronized on "private final" fields
Bug | Calls to methods should not trigger an exception
Bug | Case insensitive Unicode regular expressions should enable the "UNICODE_CASE" flag
Bug | Cast operations should not trigger a ClassCastException
Bug | Child class methods named for parent class methods should be overrides
Bug | Classes extending java.lang.Thread should provide a specific "run" behavior
Bug | Classes should not access their own subclasses during class initialization
Bug | Classes should not be compared by name
Bug | Classes that don't define "hashCode()" should not be used in hashes
Bug | Collection sizes and array length comparisons should make sense
Bug | Collections should not be modified while they are iterated
Bug | Collections should not be passed as arguments to their own methods
Bug | Conditionally executed code should be reachable
Bug | Constructor injection should be used instead of field injection
Bug | Consumed Stream pipelines should not be reused
Bug | Custom resources should be closed
Bug | Custom serialization methods should have required signatures
Bug | DateTimeFormatters should not use mismatched year and week numbers
Bug | Dissimilar primitive wrappers should not be used with the ternary operator without explicit casting
Bug | Double Brace Initialization should not be used
Bug | Double-checked locking should not be used
Bug | Equals method should be overridden in records containing array fields
Bug | Exceptions should not be created without being thrown
Bug | Expressions used in "assert" should not produce side effects
Bug | Files opened in append mode should not be used with "ObjectOutputStream"
Bug | Floating point numbers should not be tested for equality
Bug | Getters and setters should access the expected fields
Bug | Getters and setters should be synchronized in pairs
Bug | Identical expressions should not be used on both sides of a binary operator
Bug | Inappropriate "Collection" calls should not be made
Bug | Inappropriate regular expressions should not be used
Bug | Indexes to passed to "String" operations should be within the string's bounds
Bug | InputSteam.read() implementation should not return a signed byte
Bug | Intermediate Stream methods should not be left unused
Bug | Ints and longs should not be shifted by zero or more than their number of bits-1
Bug | Invalid "Date" values should not be used
Bug | JEE applications should not "getClassLoader"
Bug | JUnit5 inner test classes should be annotated with @Nested
Bug | JUnit5 test classes and methods should not be silently ignored
Bug | Jump statements should not occur in "finally" blocks
Bug | Locks should be released on all paths
Bug | Loop conditions should be true at least once
Bug | Loops should not be infinite
Bug | Loops with at most one iteration should be refactored
Bug | Map "computeIfAbsent()" and "computeIfPresent()" should not be used to add "null" values.
Bug | Map values should not be replaced unconditionally
Bug | Math operands should be cast before assignment
Bug | Math should not be performed on floats

// Security Hotspots (36)
Security Hotspot | Accessing Android external storage is security-sensitive
Security Hotspot | Allowing both safe and unsafe HTTP methods is security-sensitive
Security Hotspot | Allowing deserialization of LDAP objects is security-sensitive
Security Hotspot | Allowing requests with excessive content length is security-sensitive
Security Hotspot | Allowing user enumeration is security-sensitive
Security Hotspot | Authorizing non-authenticated users to use keys in the Android KeyStore is security-sensitive
Security Hotspot | Broadcasting intents is security-sensitive
Security Hotspot | Configuring loggers is security-sensitive
Security Hotspot | Constructing arguments of system commands from user input is security-sensitive
Security Hotspot | Creating cookies without the "HttpOnly" flag is security-sensitive
Security Hotspot | Creating cookies without the "secure" flag is security-sensitive
Security Hotspot | Delivering code in production with debug features activated is security-sensitive
Security Hotspot | Disabling CSRF protections is security-sensitive
Security Hotspot | Disabling auto-escaping in template engines is security-sensitive
Security Hotspot | Disclosing fingerprints from web application technologies is security-sensitive
Security Hotspot | Enabling JavaScript support for WebViews is security-sensitive
Security Hotspot | Enabling file access for WebViews is security-sensitive
Security Hotspot | Expanding archive files without controlling resource consumption is security-sensitive
Security Hotspot | Formatting SQL queries is security-sensitive
Security Hotspot | Hard-coded passwords are security-sensitive
Security Hotspot | Hard-coded secrets are security-sensitive
Security Hotspot | Having a permissive Cross-Origin Resource Sharing policy is security-sensitive
Security Hotspot | Receiving intents is security-sensitive
Security Hotspot | Searching OS commands in PATH is security-sensitive
Security Hotspot | Setting JavaBean properties is security-sensitive
Security Hotspot | Setting loose POSIX file permissions is security-sensitive
Security Hotspot | Using biometric authentication without a cryptographic solution is security-sensitive
Security Hotspot | Using clear-text protocols is security-sensitive
Security Hotspot | Using hardcoded IP addresses is security-sensitive
Security Hotspot | Using long-term access keys is security-sensitive
Security Hotspot | Using non-standard cryptographic algorithms is security-sensitive
Security Hotspot | Using pseudorandom number generators (PRNGs) is security-sensitive
Security Hotspot | Using publicly writable directories is security-sensitive
Security Hotspot | Using slow regular expressions is security-sensitive
Security Hotspot | Using unencrypted databases in mobile applications is security-sensitive
Security Hotspot | Using unencrypted files in mobile applications is security-sensitive

// Vulnerabilities (63)
Vulnerability | "ActiveMQConnectionFactory" should not be vulnerable to malicious code deserialization
Vulnerability | "HttpSecurity" URL patterns should be correctly ordered
Vulnerability | "HttpServletRequest.getRequestedSessionId()" should not be used
Vulnerability | A new session should be created during user authentication
Vulnerability | A secure password should be used when connecting to a database
Vulnerability | Accessing files should not lead to filesystem oracle attacks
Vulnerability | Applications should not create session cookies from untrusted input
Vulnerability | Authorizations should be based on strong decisions
Vulnerability | Basic authentication should not be used
Vulnerability | Cipher Block Chaining IVs should be unpredictable
Vulnerability | Cipher algorithms should be robust
Vulnerability | Classes should not be loaded dynamically
Vulnerability | Components should not be vulnerable to intent redirection
Vulnerability | Counter Mode initialization vectors should not be reused
Vulnerability | Credentials should not be hard-coded
Vulnerability | Cryptographic keys should be robust
Vulnerability | Database queries should not be vulnerable to injection attacks
Vulnerability | Deserialization should not be vulnerable to injection attacks
Vulnerability | Dynamic code execution should not be vulnerable to injection attacks
Vulnerability | Encryption algorithms should be used with secure mode and padding scheme
Vulnerability | Endpoints should not be vulnerable to reflected cross-site scripting (XSS) attacks
Vulnerability | Environment variables should not be defined from untrusted input
Vulnerability | Exceptions should not be thrown from servlet methods
Vulnerability | Extracting archives should not lead to zip slip vulnerabilities
Vulnerability | HTTP request redirections should not be open to forging attacks
Vulnerability | I/O function calls should not be vulnerable to path injection attacks
Vulnerability | Insecure temporary file creation methods should not be used
Vulnerability | JSON operations should not be vulnerable to injection attacks
Vulnerability | JWT should be signed and verified with strong cipher algorithms
Vulnerability | LDAP connections should be authenticated
Vulnerability | LDAP queries should not be vulnerable to injection attacks
Vulnerability | Logging should not be vulnerable to injection attacks
Vulnerability | Mobile database encryption keys should not be disclosed
Vulnerability | NoSQL operations should not be vulnerable to injection attacks
Vulnerability | OS commands should not be vulnerable to argument injection attacks
Vulnerability | OS commands should not be vulnerable to command injection attacks
Vulnerability | OpenSAML2 should be configured to prevent authentication bypass
Vulnerability | Password hashing functions should use an unpredictable salt
Vulnerability | Passwords should not be stored in plaintext or with a fast hashing algorithm
Vulnerability | Persistent entities should not be used as arguments of "@RequestMapping" methods
Vulnerability | Reflection should not be vulnerable to injection attacks
Vulnerability | Regular expressions should not be vulnerable to Denial of Service attacks
Vulnerability | Secure random number generators should not output predictable values
Vulnerability | Server certificates should be verified during SSL/TLS connections
Vulnerability | Server hostnames should be verified during SSL/TLS connections
Vulnerability | Server-side requests should not be vulnerable to forging attacks
Vulnerability | Server-side requests should not be vulnerable to traversing attacks
Vulnerability | Server-side templates should not be vulnerable to injection attacks
Vulnerability | Thread suspensions should not be vulnerable to Denial of Service attacks
Vulnerability | Weak SSL/TLS protocols should not be used
Vulnerability | XML operations should not be vulnerable to injection attacks
Vulnerability | XML parsers should not allow inclusion of arbitrary files
Vulnerability | XML parsers should not be vulnerable to Denial of Service attacks
Vulnerability | XML parsers should not be vulnerable to XXE attacks
